název_produktu,cena,dostupnost
Idee Kaffee Gold Express 200 g instant,207 Kč,Skladem – můžete mít dnes
Idee Kaffee Gold Express bez kofeinu 200 g instant,174 Kč,Skladem – můžete mít dnes
Cafédirect BIO Smooth Organic instantní káva 100g,160 Kč,Skladem – můžete mít dnes
Cafédirect Machu Picchu instantní káva 100g,163 Kč,Skladem – můžete mít dnes
Jacobs Velvet 200g,145 Kč,Skladem – můžete mít dnes
Jacobs Gold 200g,177 Kč,Skladem – můžete mít dnes
Jacobs Kronung instant 200g,200 Kč,Skladem – můžete mít dnes
Cafédirect BIO instantní káva bez kofeinu 100g,190 Kč,Skladem – můžete mít dnes
Rioba Cappuccino vanilkové 1000 g,159 Kč,Skladem – můžete mít 7.5.
Rioba Cappuccino kávové 1000 g,159 Kč,Skladem – můžete mít 7.5.
Rioba Cappuccino smetanové 1000 g,159 Kč,Skladem – můžete mít 7.5.
Rioba Cappuccino ořechové 1000 g,159 Kč,Skladem – můžete mít 7.5.
Rioba Cappuccino čokoládové 1000 g,159 Kč,Skladem – můžete mít 7.5.
Tchibo Gold Selection 200g, instantní káva,169 Kč,Skladem – můžete mít dnes
Tchibo Gold Selection Créma 180g, instantní káva,138 Kč,Skladem – můžete mít dnes
Cafédirect Smooth Roast instantní káva 250 x 1.5g,889 Kč 222,25 Kč/ks,Skladem – můžete mít dnes
Lavazza Prontissimo Intenso instantní káva 95 g,173 Kč,Skladem – můžete mít dnes
Cafédirect Smooth Roast instantní káva 200g,249 Kč,Skladem – můžete mít dnes
Cafédirect Smooth Roast instantní káva 100g,151 Kč,Skladem – můžete mít dnes
Cafédirect BIO instantní káva bez kofeinu 250 x 1.5g,1 089 Kč 272,25 Kč/ks,Skladem – můžete mít dnes
L'Or CLASSIQUE 100g instantní káva,159 Kč,Momentálně nedostupné
Jacobs Crema Gold 200g,177 Kč,Momentálně nedostupné
L'Or ESPRESSO 100g instantní káva,159 Kč,Momentálně nedostupné
Lavazza Prontissimo Classico instantní káva 95 g,173 Kč,Momentálně nedostupné

